,Term,Example of term used in context / Definition of term,Other (e.g. Title of source article/page/ section),Term.1,Example of term used in context / Definition of term.1,Other (e.g. Title of source article/page/ section).1
0,annual general meeting,One . How many people attended the annual general meeting this year?,PAULA HANCOCKS Shareholders will have their say about who should be running things at their annual general meeting next week.,年度股东大会,一今年有多少人参加年度股东大会？,记者在下周即将召开的年度大会上，股东们将会决定究竟应该由谁来掌管公司的事务。
1,assets and liabilities,Short-term Capital : It records the net changes in international assets and liabilities.,This chapter discusses the liquidity risk in assets and liabilities of our life insurance industry.,资产和负债,短期资本。它记录了国际资产和负债的净变化。,这一章同样从资产和负债两个方面探讨了目前我国寿险业资产和负债存在的流动性风险。
2,audit,Why did the bank not conduct its own audit before lending still more?,The yearly audit takes place each december.,审计,银行为什么不在贷出更多钱之前先审计自己的账目呢？,年度审计在每年的12月份进行。
3,,,,,,
4,bankruptcy,Bankruptcy is a real possibility if sales don 't improve.,The company filed for bankruptcy in 2003.,破产,如果销售情况得不到改善，真有破产的可能。,这家公司于2003年提交了破产申请。
5,,,,,,
6,bookkeeping,My bookkeeping method is a little sloppy.,"The company does some things in archaic ways , such as not using computers for bookkeeping.",簿记,我的记账有点粗糙,这个公司有些做法陈旧，如记账不使用电脑。
7,boardroom,The receptionist led the way to the boardroom.,Everyone had already assembled in the boardroom for the 9:00 a.m. session.,董事会会议室,接待员领路来到董事会会议室。,所有人都已集中到了董事会会议室，准备参加上午9点钟的会议。
8,bribery,"The charges against him include fraud , bribery , and falsifying business records.",He was jailed on charges of bribery.,行贿,对他的指控包括诈骗、行贿和伪造商业记录。,他因受到行贿指控而被捕入狱。
9,budget,The work was finished on time and within budget.,This budget will have a net expansionary effect on the economy.,预算,工作按时完成且未超出预算。,本预算对经济的发展最终会有促进作用。
10,,,,,,
11,capital,There was heavy fighting in the capital last night.,The army has been sent in to maintain order in the capital.,首都,昨晚首都发生了激烈战斗。,军队被调进首都维持治安。
12,cash flow,The Los Angeles Times reports that the industry is in the midst of an intense increase in cash flow.,"But once it generates positive cash flow , the story can change.",现金流,《洛杉矶时报》称，该行业正处于现金流大幅增长的时期。,但一旦产生正向现金流，情况就可能发生改变。
13,,,,,,
14,,,,,,
15,cash on delivery (COD),"It supports several payment methods , remittances , Cash on Delivery ( COD ), credit cards.",,货到付款（COD）,它支持各种类型的支付手段、汇款、现金交易（COD）以及信用卡。,
16,contract sheet,"In the absence of such plans , the banking sector will continue to contract its balance sheet by cutting lending.",The enterprise can send a feedback to us about the assessment of the consultant 's performance by faxing the attachment of the contract ( feedback sheet of consultant 's performance ) or by making a call.,合同工作表,如果此类计划缺位，银行将继续通过削减放贷来收缩其资产负债表。,企业可根据合同附件（咨询人员情况反馈表）随时向我中心反馈对咨询师的评价意见。
17,cost of living,Companies are moving jobs to towns with a lower cost of living.,"Pensions are linked to inflation , whereas they should be linked to the cost ofliving",生活费用,各公司正在把工作岗位转移至生活费用较低的城镇。,养老金与通货膨胀挂钩，然而它们其实应该和生活费用挂钩。
18,customs authorities,Customs authorities say China will further improve the business environment for foreign trade and foreign-funded enterprises.,Customs authorities in Shenzhen declined to comment.,海关当局,海关部门表示，中国将进一步改善外贸和外商投资企业的营商环境。,深圳海关当局拒绝置评。
19,,,,,,
20,depreciation,"The government has been offering tax credits , accelerated depreciation , and other economic hanky-panky.","Depreciation is calculated and deducted from most of these assets , which represents the economic cost of the asset over its useful life.",折旧,政府一直在搞税额抵免、加速折旧及其他一些经济上的花招。,折旧是根据大部分这些资产进行计算并扣除，表示这些资产在其使用年限内的经济成本。
21,deregulation,"Since deregulation , banks are permitted to set their own interest rates.",They say the industry is flat out lying about the effects of deregulation.,违规,管制撤销之后，银行可以自行设定利率。,他们说业界所谓的放宽管制已经取得了成效的说法纯属谎言。
22,dumping,All dumping of sludge will be banned by 1998.,Years of research made me understand how hard it is to check the dumping.,倾倒,从1998年起，将禁止所有倾倒淤泥的行为。,多年的研究使我明白，检查倾倒行为是多么困难。
23,durable goods,Businesses step up demand for durable goods across the border in November.,"New orders for durable goods , such as engines and cars , fell by 3.6 % in April ( albeit after a strong rise the month before ).",耐用品,十一月，美国耐用品需求量增大。,四月份耐用品（例如发动机与汽车）新订单数跌了3.6%（虽然前一个月才大幅上升）。
24,embargo,The embargo won 't hurt us because we 're used to going without.,The United Nations imposed an arms embargo against thecountry,禁运,禁运不会对我们有妨害，因为我们已经习惯了没有供应的日子。,联合国对那个国家实施了武器禁运。
25,,,,,,
